,frequency,TopicA,TopicB,TopicA_words,TopicB_words
160,42,4,13,"['model', 'base', 'probabilistic']","['model', 'belief', 'present']"
161,45,4,12,"['model', 'base', 'probabilistic']","['retrieval', 'document', 'search']"
162,8,4,11,"['model', 'base', 'probabilistic']","['failure', 'cbp', 'goal']"
163,33,4,10,"['model', 'base', 'probabilistic']","['word', 'model', 'combination']"
164,71,4,9,"['model', 'base', 'probabilistic']","['task', 'sense', 'datum']"
165,8,4,8,"['model', 'base', 'probabilistic']","['syntax', 'foreign', 'simplistic']"
166,2,4,7,"['model', 'base', 'probabilistic']","['cluster', 'type', 'gain']"
167,24,4,6,"['model', 'base', 'probabilistic']","['datum', 'grammar', 'incomplete']"
168,49,4,5,"['model', 'base', 'probabilistic']","['base', 'language', 'module']"
169,9,4,3,"['model', 'base', 'probabilistic']","['line', 'direct', 'mathematical']"
170,77,4,2,"['model', 'base', 'probabilistic']","['language', 'natural', 'speech']"
171,25,4,1,"['model', 'base', 'probabilistic']","['case', 'planning', 'learn']"
172,20,4,0,"['model', 'base', 'probabilistic']","['low', 'selection', 'restrict']"
173,8,3,15,"['line', 'direct', 'mathematical']","['learn', 'memory', 'base']"
174,2,3,14,"['line', 'direct', 'mathematical']","['phenomenon', 'roget', 'wordnet']"
175,10,3,13,"['line', 'direct', 'mathematical']","['model', 'belief', 'present']"
176,14,3,12,"['line', 'direct', 'mathematical']","['retrieval', 'document', 'search']"
177,2,3,11,"['line', 'direct', 'mathematical']","['failure', 'cbp', 'goal']"
178,9,3,10,"['line', 'direct', 'mathematical']","['word', 'model', 'combination']"
179,21,3,9,"['line', 'direct', 'mathematical']","['task', 'sense', 'datum']"
180,5,3,8,"['line', 'direct', 'mathematical']","['syntax', 'foreign', 'simplistic']"
181,8,3,6,"['line', 'direct', 'mathematical']","['datum', 'grammar', 'incomplete']"
182,15,3,5,"['line', 'direct', 'mathematical']","['base', 'language', 'module']"
183,9,3,4,"['line', 'direct', 'mathematical']","['model', 'base', 'probabilistic']"
184,24,3,2,"['line', 'direct', 'mathematical']","['language', 'natural', 'speech']"
185,10,3,1,"['line', 'direct', 'mathematical']","['case', 'planning', 'learn']"
186,7,3,0,"['line', 'direct', 'mathematical']","['low', 'selection', 'restrict']"
187,58,2,15,"['language', 'natural', 'speech']","['learn', 'memory', 'base']"
188,7,2,14,"['language', 'natural', 'speech']","['phenomenon', 'roget', 'wordnet']"
189,93,2,13,"['language', 'natural', 'speech']","['model', 'belief', 'present']"
190,109,2,12,"['language', 'natural', 'speech']","['retrieval', 'document', 'search']"
191,15,2,11,"['language', 'natural', 'speech']","['failure', 'cbp', 'goal']"
192,89,2,10,"['language', 'natural', 'speech']","['word', 'model', 'combination']"
193,181,2,9,"['language', 'natural', 'speech']","['task', 'sense', 'datum']"
194,26,2,8,"['language', 'natural', 'speech']","['syntax', 'foreign', 'simplistic']"
195,11,2,7,"['language', 'natural', 'speech']","['cluster', 'type', 'gain']"
196,54,2,6,"['language', 'natural', 'speech']","['datum', 'grammar', 'incomplete']"
197,130,2,5,"['language', 'natural', 'speech']","['base', 'language', 'module']"
198,77,2,4,"['language', 'natural', 'speech']","['model', 'base', 'probabilistic']"
199,24,2,3,"['language', 'natural', 'speech']","['line', 'direct', 'mathematical']"
200,66,2,1,"['language', 'natural', 'speech']","['case', 'planning', 'learn']"
201,46,2,0,"['language', 'natural', 'speech']","['low', 'selection', 'restrict']"
202,24,1,15,"['case', 'planning', 'learn']","['learn', 'memory', 'base']"
203,3,1,14,"['case', 'planning', 'learn']","['phenomenon', 'roget', 'wordnet']"
204,32,1,13,"['case', 'planning', 'learn']","['model', 'belief', 'present']"
205,41,1,12,"['case', 'planning', 'learn']","['retrieval', 'document', 'search']"
206,6,1,11,"['case', 'planning', 'learn']","['failure', 'cbp', 'goal']"
207,32,1,10,"['case', 'planning', 'learn']","['word', 'model', 'combination']"
208,60,1,9,"['case', 'planning', 'learn']","['task', 'sense', 'datum']"
209,9,1,8,"['case', 'planning', 'learn']","['syntax', 'foreign', 'simplistic']"
210,2,1,7,"['case', 'planning', 'learn']","['cluster', 'type', 'gain']"
211,15,1,6,"['case', 'planning', 'learn']","['datum', 'grammar', 'incomplete']"
212,44,1,5,"['case', 'planning', 'learn']","['base', 'language', 'module']"
213,25,1,4,"['case', 'planning', 'learn']","['model', 'base', 'probabilistic']"
214,10,1,3,"['case', 'planning', 'learn']","['line', 'direct', 'mathematical']"
215,66,1,2,"['case', 'planning', 'learn']","['language', 'natural', 'speech']"
216,23,1,0,"['case', 'planning', 'learn']","['low', 'selection', 'restrict']"
217,17,0,15,"['low', 'selection', 'restrict']","['learn', 'memory', 'base']"
218,2,0,14,"['low', 'selection', 'restrict']","['phenomenon', 'roget', 'wordnet']"
219,21,0,13,"['low', 'selection', 'restrict']","['model', 'belief', 'present']"
220,26,0,12,"['low', 'selection', 'restrict']","['retrieval', 'document', 'search']"
221,4,0,11,"['low', 'selection', 'restrict']","['failure', 'cbp', 'goal']"
222,22,0,10,"['low', 'selection', 'restrict']","['word', 'model', 'combination']"
223,40,0,9,"['low', 'selection', 'restrict']","['task', 'sense', 'datum']"
224,5,0,8,"['low', 'selection', 'restrict']","['syntax', 'foreign', 'simplistic']"
225,4,0,7,"['low', 'selection', 'restrict']","['cluster', 'type', 'gain']"
226,15,0,6,"['low', 'selection', 'restrict']","['datum', 'grammar', 'incomplete']"
227,24,0,5,"['low', 'selection', 'restrict']","['base', 'language', 'module']"
228,20,0,4,"['low', 'selection', 'restrict']","['model', 'base', 'probabilistic']"
229,7,0,3,"['low', 'selection', 'restrict']","['line', 'direct', 'mathematical']"
230,46,0,2,"['low', 'selection', 'restrict']","['language', 'natural', 'speech']"
231,23,0,1,"['low', 'selection', 'restrict']","['case', 'planning', 'learn']"
