,frequency,TopicA,TopicB,TopicA_words,TopicB_words
61,4,11,12,"['intermittency', 'solar_radiation', 'fusion']","['model', 'event', 'prediction']"
62,3,11,8,"['intermittency', 'solar_radiation', 'fusion']","['energy', 'wind', 'emission']"
63,2,11,7,"['intermittency', 'solar_radiation', 'fusion']","['metric', 'website', 'sustainability']"
64,5,11,4,"['intermittency', 'solar_radiation', 'fusion']","['climate', 'change', 'base']"
65,5,11,3,"['intermittency', 'solar_radiation', 'fusion']","['high', 'datum', 'water']"
66,2,11,2,"['intermittency', 'solar_radiation', 'fusion']","['ice', 'sea_ice', 'sequestration']"
67,13,10,15,"['access', 'stance', 'steady']","['system', 'earth', 'state']"
68,34,10,14,"['access', 'stance', 'steady']","['model', 'climate', 'change']"
69,18,10,13,"['access', 'stance', 'steady']","['web', 'measurement', 'social']"
70,27,10,12,"['access', 'stance', 'steady']","['model', 'event', 'prediction']"
71,1,10,9,"['access', 'stance', 'steady']","['flux', 'industry', 'industrial']"
72,13,10,8,"['access', 'stance', 'steady']","['energy', 'wind', 'emission']"
73,8,10,7,"['access', 'stance', 'steady']","['metric', 'website', 'sustainability']"
74,1,10,6,"['access', 'stance', 'steady']","['journal', 'adequate', 'epistemological']"
75,34,10,4,"['access', 'stance', 'steady']","['climate', 'change', 'base']"
76,34,10,3,"['access', 'stance', 'steady']","['high', 'datum', 'water']"
77,3,10,2,"['access', 'stance', 'steady']","['ice', 'sea_ice', 'sequestration']"
78,2,10,1,"['access', 'stance', 'steady']","['crop', 'soil', 'agricultural']"
79,13,10,0,"['access', 'stance', 'steady']","['conference', 'platform', 'online']"
80,45,9,15,"['flux', 'industry', 'industrial']","['system', 'earth', 'state']"
81,85,9,14,"['flux', 'industry', 'industrial']","['model', 'climate', 'change']"
82,30,9,13,"['flux', 'industry', 'industrial']","['web', 'measurement', 'social']"
83,63,9,12,"['flux', 'industry', 'industrial']","['model', 'event', 'prediction']"
84,1,9,10,"['flux', 'industry', 'industrial']","['access', 'stance', 'steady']"
85,62,9,8,"['flux', 'industry', 'industrial']","['energy', 'wind', 'emission']"
86,27,9,7,"['flux', 'industry', 'industrial']","['metric', 'website', 'sustainability']"
87,1,9,5,"['flux', 'industry', 'industrial']","['possibility', 'evident', 'vehicle']"
88,85,9,4,"['flux', 'industry', 'industrial']","['climate', 'change', 'base']"
89,85,9,3,"['flux', 'industry', 'industrial']","['high', 'datum', 'water']"
90,19,9,2,"['flux', 'industry', 'industrial']","['ice', 'sea_ice', 'sequestration']"
91,3,9,1,"['flux', 'industry', 'industrial']","['crop', 'soil', 'agricultural']"
92,11,9,0,"['flux', 'industry', 'industrial']","['conference', 'platform', 'online']"
93,270,8,15,"['energy', 'wind', 'emission']","['system', 'earth', 'state']"
94,564,8,14,"['energy', 'wind', 'emission']","['model', 'climate', 'change']"
95,186,8,13,"['energy', 'wind', 'emission']","['web', 'measurement', 'social']"
96,443,8,12,"['energy', 'wind', 'emission']","['model', 'event', 'prediction']"
97,3,8,11,"['energy', 'wind', 'emission']","['intermittency', 'solar_radiation', 'fusion']"
98,13,8,10,"['energy', 'wind', 'emission']","['access', 'stance', 'steady']"
99,62,8,9,"['energy', 'wind', 'emission']","['flux', 'industry', 'industrial']"
100,171,8,7,"['energy', 'wind', 'emission']","['metric', 'website', 'sustainability']"
101,7,8,5,"['energy', 'wind', 'emission']","['possibility', 'evident', 'vehicle']"
102,564,8,4,"['energy', 'wind', 'emission']","['climate', 'change', 'base']"
103,564,8,3,"['energy', 'wind', 'emission']","['high', 'datum', 'water']"
104,110,8,2,"['energy', 'wind', 'emission']","['ice', 'sea_ice', 'sequestration']"
105,48,8,1,"['energy', 'wind', 'emission']","['crop', 'soil', 'agricultural']"
106,102,8,0,"['energy', 'wind', 'emission']","['conference', 'platform', 'online']"
107,152,7,15,"['metric', 'website', 'sustainability']","['system', 'earth', 'state']"
108,327,7,14,"['metric', 'website', 'sustainability']","['model', 'climate', 'change']"
109,126,7,13,"['metric', 'website', 'sustainability']","['web', 'measurement', 'social']"
110,253,7,12,"['metric', 'website', 'sustainability']","['model', 'event', 'prediction']"
111,2,7,11,"['metric', 'website', 'sustainability']","['intermittency', 'solar_radiation', 'fusion']"
112,8,7,10,"['metric', 'website', 'sustainability']","['access', 'stance', 'steady']"
113,27,7,9,"['metric', 'website', 'sustainability']","['flux', 'industry', 'industrial']"
114,171,7,8,"['metric', 'website', 'sustainability']","['energy', 'wind', 'emission']"
115,2,7,6,"['metric', 'website', 'sustainability']","['journal', 'adequate', 'epistemological']"
116,6,7,5,"['metric', 'website', 'sustainability']","['possibility', 'evident', 'vehicle']"
117,327,7,4,"['metric', 'website', 'sustainability']","['climate', 'change', 'base']"
118,327,7,3,"['metric', 'website', 'sustainability']","['high', 'datum', 'water']"
119,66,7,2,"['metric', 'website', 'sustainability']","['ice', 'sea_ice', 'sequestration']"
120,34,7,1,"['metric', 'website', 'sustainability']","['crop', 'soil', 'agricultural']"
121,75,7,0,"['metric', 'website', 'sustainability']","['conference', 'platform', 'online']"
122,4,6,15,"['journal', 'adequate', 'epistemological']","['system', 'earth', 'state']"
123,5,6,14,"['journal', 'adequate', 'epistemological']","['model', 'climate', 'change']"
124,4,6,13,"['journal', 'adequate', 'epistemological']","['web', 'measurement', 'social']"
125,3,6,12,"['journal', 'adequate', 'epistemological']","['model', 'event', 'prediction']"
126,1,6,10,"['journal', 'adequate', 'epistemological']","['access', 'stance', 'steady']"
127,2,6,7,"['journal', 'adequate', 'epistemological']","['metric', 'website', 'sustainability']"
128,5,6,4,"['journal', 'adequate', 'epistemological']","['climate', 'change', 'base']"
129,5,6,3,"['journal', 'adequate', 'epistemological']","['high', 'datum', 'water']"
130,1,6,2,"['journal', 'adequate', 'epistemological']","['ice', 'sea_ice', 'sequestration']"
131,1,6,0,"['journal', 'adequate', 'epistemological']","['conference', 'platform', 'online']"
132,9,5,15,"['possibility', 'evident', 'vehicle']","['system', 'earth', 'state']"
133,16,5,14,"['possibility', 'evident', 'vehicle']","['model', 'climate', 'change']"
134,2,5,13,"['possibility', 'evident', 'vehicle']","['web', 'measurement', 'social']"
135,13,5,12,"['possibility', 'evident', 'vehicle']","['model', 'event', 'prediction']"
136,1,5,9,"['possibility', 'evident', 'vehicle']","['flux', 'industry', 'industrial']"
137,7,5,8,"['possibility', 'evident', 'vehicle']","['energy', 'wind', 'emission']"
138,6,5,7,"['possibility', 'evident', 'vehicle']","['metric', 'website', 'sustainability']"
139,16,5,4,"['possibility', 'evident', 'vehicle']","['climate', 'change', 'base']"
140,16,5,3,"['possibility', 'evident', 'vehicle']","['high', 'datum', 'water']"
141,3,5,2,"['possibility', 'evident', 'vehicle']","['ice', 'sea_ice', 'sequestration']"
142,1,5,1,"['possibility', 'evident', 'vehicle']","['crop', 'soil', 'agricultural']"
143,1,5,0,"['possibility', 'evident', 'vehicle']","['conference', 'platform', 'online']"
144,476,4,15,"['climate', 'change', 'base']","['system', 'earth', 'state']"
145,1011,4,14,"['climate', 'change', 'base']","['model', 'climate', 'change']"
146,374,4,13,"['climate', 'change', 'base']","['web', 'measurement', 'social']"
147,813,4,12,"['climate', 'change', 'base']","['model', 'event', 'prediction']"
148,5,4,11,"['climate', 'change', 'base']","['intermittency', 'solar_radiation', 'fusion']"
149,34,4,10,"['climate', 'change', 'base']","['access', 'stance', 'steady']"
150,85,4,9,"['climate', 'change', 'base']","['flux', 'industry', 'industrial']"
151,564,4,8,"['climate', 'change', 'base']","['energy', 'wind', 'emission']"
152,327,4,7,"['climate', 'change', 'base']","['metric', 'website', 'sustainability']"
153,5,4,6,"['climate', 'change', 'base']","['journal', 'adequate', 'epistemological']"
154,16,4,5,"['climate', 'change', 'base']","['possibility', 'evident', 'vehicle']"
155,1011,4,3,"['climate', 'change', 'base']","['high', 'datum', 'water']"
156,183,4,2,"['climate', 'change', 'base']","['ice', 'sea_ice', 'sequestration']"
157,101,4,1,"['climate', 'change', 'base']","['crop', 'soil', 'agricultural']"
158,207,4,0,"['climate', 'change', 'base']","['conference', 'platform', 'online']"
159,476,3,15,"['high', 'datum', 'water']","['system', 'earth', 'state']"
160,1011,3,14,"['high', 'datum', 'water']","['model', 'climate', 'change']"
161,374,3,13,"['high', 'datum', 'water']","['web', 'measurement', 'social']"
162,813,3,12,"['high', 'datum', 'water']","['model', 'event', 'prediction']"
163,5,3,11,"['high', 'datum', 'water']","['intermittency', 'solar_radiation', 'fusion']"
164,34,3,10,"['high', 'datum', 'water']","['access', 'stance', 'steady']"
165,85,3,9,"['high', 'datum', 'water']","['flux', 'industry', 'industrial']"
166,564,3,8,"['high', 'datum', 'water']","['energy', 'wind', 'emission']"
167,327,3,7,"['high', 'datum', 'water']","['metric', 'website', 'sustainability']"
168,5,3,6,"['high', 'datum', 'water']","['journal', 'adequate', 'epistemological']"
169,16,3,5,"['high', 'datum', 'water']","['possibility', 'evident', 'vehicle']"
170,1011,3,4,"['high', 'datum', 'water']","['climate', 'change', 'base']"
171,183,3,2,"['high', 'datum', 'water']","['ice', 'sea_ice', 'sequestration']"
172,101,3,1,"['high', 'datum', 'water']","['crop', 'soil', 'agricultural']"
173,207,3,0,"['high', 'datum', 'water']","['conference', 'platform', 'online']"
174,112,2,15,"['ice', 'sea_ice', 'sequestration']","['system', 'earth', 'state']"
175,183,2,14,"['ice', 'sea_ice', 'sequestration']","['model', 'climate', 'change']"
176,73,2,13,"['ice', 'sea_ice', 'sequestration']","['web', 'measurement', 'social']"
177,143,2,12,"['ice', 'sea_ice', 'sequestration']","['model', 'event', 'prediction']"
178,2,2,11,"['ice', 'sea_ice', 'sequestration']","['intermittency', 'solar_radiation', 'fusion']"
179,3,2,10,"['ice', 'sea_ice', 'sequestration']","['access', 'stance', 'steady']"
180,19,2,9,"['ice', 'sea_ice', 'sequestration']","['flux', 'industry', 'industrial']"
181,110,2,8,"['ice', 'sea_ice', 'sequestration']","['energy', 'wind', 'emission']"
182,66,2,7,"['ice', 'sea_ice', 'sequestration']","['metric', 'website', 'sustainability']"
183,1,2,6,"['ice', 'sea_ice', 'sequestration']","['journal', 'adequate', 'epistemological']"
184,3,2,5,"['ice', 'sea_ice', 'sequestration']","['possibility', 'evident', 'vehicle']"
185,183,2,4,"['ice', 'sea_ice', 'sequestration']","['climate', 'change', 'base']"
186,183,2,3,"['ice', 'sea_ice', 'sequestration']","['high', 'datum', 'water']"
187,14,2,1,"['ice', 'sea_ice', 'sequestration']","['crop', 'soil', 'agricultural']"
188,24,2,0,"['ice', 'sea_ice', 'sequestration']","['conference', 'platform', 'online']"
189,44,1,15,"['crop', 'soil', 'agricultural']","['system', 'earth', 'state']"
190,101,1,14,"['crop', 'soil', 'agricultural']","['model', 'climate', 'change']"
191,33,1,13,"['crop', 'soil', 'agricultural']","['web', 'measurement', 'social']"
192,88,1,12,"['crop', 'soil', 'agricultural']","['model', 'event', 'prediction']"
193,2,1,10,"['crop', 'soil', 'agricultural']","['access', 'stance', 'steady']"
194,3,1,9,"['crop', 'soil', 'agricultural']","['flux', 'industry', 'industrial']"
195,48,1,8,"['crop', 'soil', 'agricultural']","['energy', 'wind', 'emission']"
196,34,1,7,"['crop', 'soil', 'agricultural']","['metric', 'website', 'sustainability']"
197,1,1,5,"['crop', 'soil', 'agricultural']","['possibility', 'evident', 'vehicle']"
198,101,1,4,"['crop', 'soil', 'agricultural']","['climate', 'change', 'base']"
199,101,1,3,"['crop', 'soil', 'agricultural']","['high', 'datum', 'water']"
200,14,1,2,"['crop', 'soil', 'agricultural']","['ice', 'sea_ice', 'sequestration']"
201,12,1,0,"['crop', 'soil', 'agricultural']","['conference', 'platform', 'online']"
202,79,0,15,"['conference', 'platform', 'online']","['system', 'earth', 'state']"
203,207,0,14,"['conference', 'platform', 'online']","['model', 'climate', 'change']"
204,96,0,13,"['conference', 'platform', 'online']","['web', 'measurement', 'social']"
205,159,0,12,"['conference', 'platform', 'online']","['model', 'event', 'prediction']"
206,13,0,10,"['conference', 'platform', 'online']","['access', 'stance', 'steady']"
207,11,0,9,"['conference', 'platform', 'online']","['flux', 'industry', 'industrial']"
208,102,0,8,"['conference', 'platform', 'online']","['energy', 'wind', 'emission']"
209,75,0,7,"['conference', 'platform', 'online']","['metric', 'website', 'sustainability']"
210,1,0,6,"['conference', 'platform', 'online']","['journal', 'adequate', 'epistemological']"
211,1,0,5,"['conference', 'platform', 'online']","['possibility', 'evident', 'vehicle']"
212,207,0,4,"['conference', 'platform', 'online']","['climate', 'change', 'base']"
213,207,0,3,"['conference', 'platform', 'online']","['high', 'datum', 'water']"
214,24,0,2,"['conference', 'platform', 'online']","['ice', 'sea_ice', 'sequestration']"
215,12,0,1,"['conference', 'platform', 'online']","['crop', 'soil', 'agricultural']"
